Concept	PROP_W	TOTAL_GEN_FREQ
[men/male/women/female] law professor	0.8951048951048951	715
[men/male/women/female] copyist	0.7598566308243727	279
[men/male/women/female] striker	0.8635265700483091	1656
[men/male/women/female] copywriter	0.8686868686868687	396
[men/male/women/female] lawyer	0.8749314317059792	38283
[men/male/women/female] hiker	0.7405452946350044	1137
[men/male/women/female] leader	0.7852726089971335	139889
[men/male/women/female] corporal	0.8731182795698925	465
[men/male/women/female] corporate executive	0.7352112676056338	355
[men/male/women/female] personal assistant	0.6310679611650486	206
[men/male/women/female] personal trainer	0.7006802721088435	147
[men/male/women/female] student	0.6367898264803642	414881
[men/male/women/female] correction officer	0.7641221374045801	1310
[men/male/women/female] historian	0.7733537519142419	9142
[men/male/women/female] correctional officer	0.7603380621792937	3313
[men/male/women/female] history teacher	0.726027397260274	146
[men/male/women/female] legislator	0.8666338582677166	22352
[men/male/women/female] pharmacist	0.7090501121914734	1337
[men/male/women/female] philosopher	0.8169274443784248	15147
[men/male/women/female] homemaker	0.9653665097511769	2974
[men/male/women/female] liaison	0.7231503579952268	419
[men/male/women/female] photographer	0.7907716785998409	7542
[men/male/women/female] librarian	0.6546482856132909	2829
[men/male/women/female] courier	0.8618857901726428	753
[men/male/women/female] physical therapist	0.71875	288
[men/male/women/female] physician	0.6903955035748234	48394
[men/male/women/female] physicist	0.8447517284726587	1591
[men/male/women/female] physiotherapist	0.71280276816609	289
[men/male/women/female] lifeguard	0.820631970260223	1076
[men/male/women/female] pianist	0.7784461152882205	1995
[men/male/women/female] cpa	0.6791907514450867	346
[men/male/women/female] picker	0.7681159420289855	276
[men/male/women/female] lifter	0.6116504854368932	103
[men/male/women/female] linguist	0.7896551724137931	290
[men/male/women/female] pilot	0.8035026943802925	25980
[men/male/women/female] superintendent	0.8715622341933654	3527
[men/male/women/female] pitcher	0.6787003610108303	277
[men/male/women/female] planner	0.7538726333907056	581
[men/male/women/female] surgeon	0.703833430628527	5139
[men/male/women/female] surfer	0.7562111801242236	2576
[men/male/women/female] loan officer	0.7426470588235294	272
[men/male/women/female] lobbyist	0.8185880250223414	1119
[men/male/women/female] surveyor	0.7551020408163265	294
[men/male/women/female] playwright	0.9092433842713381	16098
[men/male/women/female] csw	0.810853950518755	1253
[men/male/women/female] housekeeper	0.7949346405228758	1224
[men/male/women/female] plumber	0.7293906810035843	558
[men/male/women/female] cultivator	0.7609958506224066	2410
[men/male/women/female] poet	0.8270666630984559	74734
[men/male/women/female] swimmer	0.6954125466039877	6169
[men/male/women/female] curator	0.7453874538745388	542
[men/male/women/female] custodian	0.6183395291201983	807
[men/male/women/female] police officer	0.8018380453236879	27094
[men/male/women/female] humorist	0.8607954545454546	352
[men/male/women/female] cyclist	0.6538	5000
[men/male/women/female] lyricist	0.791970802919708	274
[men/male/women/female] politician	0.7367524895516228	38762
[men/male/women/female] machine operator	0.7333333333333333	240
[men/male/women/female] machinist	0.7971014492753623	483
[men/male/women/female] pope	0.9486514522821576	1928
[men/male/women/female] magician	0.6552395792754188	2567
[men/male/women/female] magistrate	0.7826318593500267	1877
[men/male/women/female] porter	0.6885098743267505	1114
[men/male/women/female] deacon	0.8326359832635983	7648
[men/male/women/female] dealer	0.7142857142857143	1666
[men/male/women/female] teacher	0.6529282133559741	160183
[men/male/women/female] dean	0.8460350154479918	1942
[men/male/women/female] maker	0.6955645161290323	496
[men/male/women/female] teaching assistant	0.6388888888888888	216
[men/male/women/female] tech	0.6653574234092694	1273
[men/male/women/female] technician	0.6745689655172413	3248
[men/male/women/female] technologist	0.844488188976378	508
[men/male/women/female] manager	0.7338329918401093	55638
[men/male/women/female] illustrator	0.8493647912885662	551
[men/male/women/female] potter	0.8414550446122169	1457
[men/male/women/female] imam	0.7320341047503045	821
[men/male/women/female] teller	0.7462462462462462	1332
[men/male/women/female] defense attorney	0.7160493827160493	162
[men/male/women/female] delegate	0.8341925302472383	9505
[men/male/women/female] preacher	0.8999651648862053	17224
[men/male/women/female] impersonator	0.7983721790603033	21624
[men/male/women/female] preceptor	0.6369426751592356	157
[men/male/women/female] impresario	0.6397058823529411	136
[men/male/women/female] dentist	0.7408114558472554	2095
[men/male/women/female] department chair	0.6560509554140127	157
[men/male/women/female] presenter	0.6858937749857225	3502
[men/male/women/female] marshal	0.8128544423440454	529
[men/male/women/female] president	0.9235051950597922	25505
[men/male/women/female] mason	0.6216216216216216	555
[men/male/women/female] designer	0.75071907957814	4172
[men/male/women/female] priest	0.728844642389311	22902
[men/male/women/female] desk clerk	0.6007326007326007	273
[men/male/women/female] principal	0.7185343802046158	8406
[men/male/women/female] mathematician	0.9164625850340136	3675
[men/male/women/female] developer	0.806930693069307	404
[men/male/women/female] probation officer	0.6904761904761905	1344
[men/male/women/female] mayor	0.9466868483013791	5946
[men/male/women/female] producer	0.7370965226882894	6413
[men/male/women/female] digger	0.7233502538071066	394
[men/male/women/female] professional	0.7552488449616936	17099
[men/male/women/female] mechanic	0.7522123893805309	1469
[men/male/women/female] diplomat	0.8427518427518428	2442
[men/male/women/female] director	0.8431210733681184	37564
[men/male/women/female] professor	0.6564876425855514	25248
[men/male/women/female] mediator	0.6936251189343482	1051
[men/male/women/female] medic	0.7253478523895946	1653
[men/male/women/female] medical assistant	0.6054794520547945	365
[men/male/women/female] medical doctor	0.7277556440903055	753
[men/male/women/female] programmer	0.7560975609756098	1107
[men/male/women/female] medical officer	0.75	356
[men/male/women/female] project manager	0.6336206896551724	232
[men/male/women/female] dispatcher	0.8590544157002676	1121
[men/male/women/female] trader	0.84577637574483	8559
[men/male/women/female] trainee	0.6852233676975945	4365
[men/male/women/female] prosecutor	0.7769784172661871	1668
[men/male/women/female] trainer	0.6808879639264654	2883
[men/male/women/female] mercenary	0.7767653758542141	439
[men/male/women/female] merchant	0.7080263668088407	2579
[men/male/women/female] diver	0.8076433121019109	2355
[men/male/women/female] anesthesiologist	0.6584362139917695	243
[men/male/women/female] messenger	0.8175084175084175	1485
[men/male/women/female] doctor	0.6814763638296176	75266
[men/male/women/female] translator	0.8153034300791556	4548
[men/male/women/female] animator	0.7003205128205128	624
[men/male/women/female] psychoanalyst	0.8137573004542504	1541
[men/male/women/female] psychologist	0.729516129032258	6200
[men/male/women/female] announcer	0.6496753246753246	3080
[men/male/women/female] psychotherapist	0.6548223350253807	1182
