ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
worker	119	7	7	7	26	6	1	3	1	1
worker	19	0	1	0	1	1	0	0	0	1
worker	32	0	0	0	1	1	0	2	1	0
	10	0	0	0	0	8	0	0	2	0
accountant	185	4	3	4	2	10	2	8	1	2
accountant	140	0	0	3	2	0	0	5	5	10
accountant	56	1	1	2	1	5	0	0	1	1
accountant	266	6	8	10	14	20	11	9	16	13
accountant	3275	39	43	73	49	76	66	65	82	132
accountant	550	5	6	6	15	11	11	11	16	20
accountant	30	4	0	0	0	0	3	0	2	2
accountant	28785	773	893	955	1133	1337	1342	1256	1407	1077
accountant	9450	225	239	239	242	300	324	326	323	276
accountant	3215	131	59	238	125	131	97	68	88	72
accountant	16	0	0	0	0	0	0	2	1	1
accountant	19220	563	668	742	847	902	929	889	928	759
accountant	1666	38	45	23	38	43	129	66	53	56
accountant	180	4	2	3	2	8	17	10	6	13
accountant	5170	98	92	92	125	101	210	148	178	181
accountant	79	1	3	1	3	1	5	3	4	7
accountant	75	4	1	3	0	0	1	0	1	1
accountant	343	3	0	0	0	2	3	1	6	3
accountant	11	0	0	0	0	0	0	0	0	0
accountant	392	9	10	7	4	27	14	12	12	6
accountant	2584	61	65	92	100	99	89	105	92	64
accountant	2416	78	85	82	131	115	101	118	92	64
accountant	12	0	0	1	0	3	0	0	0	1
accountant	17	0	1	0	0	2	0	0	1	0
accountant	78615	2353	2317	2887	3320	3348	3304	3232	3144	2554
accountant	4926	126	154	160	173	259	174	200	212	140
accountant	6630	207	212	225	338	273	303	308	274	224
accountant	222	2	2	15	14	9	11	23	4	6
accountant	6579	201	216	214	251	281	284	257	253	220
accountant	44600	1347	1814	1700	2031	2353	2062	2089	2119	1882
accountant	4720	113	152	140	194	195	214	195	230	173
accountant	39799	1064	1118	1143	1529	1405	1653	1669	1764	1296
accountant	33	0	2	1	2	0	0	1	0	0
acrobat	41	0	0	1	1	1	1	2	1	3
acrobat	146	0	2	3	0	9	5	4	4	7
acrobat	10	0	0	0	0	0	1	0	0	1
acrobat	2043	48	47	57	45	69	46	60	54	53
acrobat	493	13	14	11	11	25	8	19	8	19
acrobat	227	6	3	0	4	3	4	2	7	18
acrobat	2297	64	107	102	189	117	88	97	116	100
acrobat	115	0	4	3	4	12	5	7	6	7
acrobat	324	8	7	9	6	4	9	14	8	19
acrobat	29	0	1	2	0	5	0	0	1	2
acrobat	514	5	12	13	17	12	19	5	24	13
acrobat	1066	23	32	30	27	34	43	29	47	25
acrobat	15111	367	357	420	451	505	519	503	594	444
acrobat	619	14	17	12	18	14	10	22	26	13
acrobat	1015	17	19	18	42	38	29	48	37	56
acrobat	10	0	0	0	0	0	0	1	0	0
acrobat	443	12	14	13	11	9	14	11	14	12
acrobat	2170	39	61	71	58	84	67	75	110	68
acrobat	159	0	0	1	2	2	10	3	4	6
