ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
exotic dancer	64	1	2	4	5	8	7	2	2	3
exotic dancer	26	1	2	2	2	1	2	1	1	2
exotic dancer	25	2	2	4	2	3	3	0	2	2
exotic dancer	23	1	1	0	3	1	0	1	1	1
exotic dancer	37	5	5	0	1	3	1	4	6	1
tap dancer	10	1	1	0	0	0	0	0	0	0
dancer	18	0	3	0	0	5	2	1	1	0
ballet dancer	10	0	1	0	1	0	0	1	0	0
ballet dancer	115	3	3	5	2	6	0	1	4	4
ballet dancer	376	6	5	15	11	17	18	17	12	14
ballet dancer	2865	106	77	112	80	108	102	109	81	63
ballet dancer	121	6	3	2	6	8	11	4	6	2
ballet dancer	449	24	17	8	7	16	24	12	19	10
ballet dancer	1790	73	69	67	67	106	98	65	59	46
ballet dancer	193	14	10	4	4	12	11	6	5	9
ballet dancer	5076	202	233	149	158	237	228	158	203	123
ballet dancer	11	0	1	0	0	0	0	0	0	0
ballet dancer	18	2	0	2	0	4	1	6	0	0
ballet dancer	10	0	1	0	0	1	0	5	0	1
dancer	196	2	10	1	4	2	6	2	4	8
dancer	2466	55	83	66	85	95	69	72	74	57
dancer	4232	119	125	137	144	203	144	185	200	120
dancer	14	0	2	0	0	0	0	0	0	0
dancer	17	0	1	0	0	1	0	1	1	0
dancer	83533	2419	2560	2765	3089	3292	3176	3082	3001	2657
dancer	5782	163	166	166	179	237	218	223	182	196
dancer	13160	445	405	538	544	580	512	622	524	474
dancer	505	27	21	24	23	20	33	35	31	19
dancer	8281	215	237	274	323	304	332	365	359	291
dancer	48248	1701	1567	2289	1898	2314	2459	2699	2207	1877
dancer	4460	147	147	177	184	192	172	225	171	140
dancer	74599	1941	2017	2377	2299	2726	2622	2624	2859	2567
dancer	30	0	0	1	0	1	0	1	1	1
exotic dancer	31	2	2	3	3	2	2	5	0	5
exotic dancer	67	5	2	8	3	6	4	1	2	5
exotic dancer	407	23	18	29	24	35	22	37	17	31
exotic dancer	29	3	0	3	0	1	2	4	3	5
exotic dancer	220	4	2	11	16	26	16	20	21	18
exotic dancer	277	8	23	5	25	22	21	38	22	19
exotic dancer	31	0	0	1	2	2	3	10	3	6
exotic dancer	495	19	18	27	44	62	45	68	45	46
tap dancer	58	0	0	1	2	1	0	0	1	0
tap dancer	19	1	2	0	3	3	1	0	0	0
tap dancer	193	2	11	5	8	11	5	2	10	8
tap dancer	14	0	0	0	4	1	0	0	0	0
tap dancer	63	4	1	9	0	1	8	3	1	0
tap dancer	234	11	8	4	28	6	12	2	9	4
tap dancer	289	14	9	8	18	11	16	12	12	4
tap dancer	84	2	0	0	2	4	0	2	0	0
tap dancer	18	0	0	1	3	1	0	2	0	0
deacon	36	0	0	0	0	1	1	2	0	0
deacon	299	1	2	3	3	1	2	4	3	10
deacon	240	0	1	1	1	5	2	11	6	17
deacon	365	7	7	4	7	5	2	10	14	9
deacon	3826	26	32	29	35	104	90	61	107	202
deacon	2139	26	16	17	16	48	23	50	61	107
deacon	99	0	0	0	3	3	7	1	6	15
deacon	21470	343	320	422	615	682	576	702	617	994
deacon	5937	63	53	87	111	157	137	155	190	398
deacon	21250	181	198	116	172	237	514	533	377	599
deacon	220	2	0	0	0	0	1	5	0	3
deacon	16307	222	217	334	341	491	451	419	438	689
deacon	1098	6	10	12	20	36	27	20	47	98
deacon	126	0	0	0	4	1	3	8	3	6
deacon	12	0	0	0	0	0	0	0	0	0
deacon	13778	222	200	268	258	276	257	316	289	545
deacon	138	0	0	0	0	6	2	3	13	27
deacon	1452	9	7	5	8	17	12	20	24	56
deacon	99	1	0	2	1	3	2	5	2	3
deacon	217	3	1	1	8	7	3	2	4	10
deacon	2509	25	13	27	40	29	39	41	51	84
deacon	2580	42	44	43	64	87	68	98	87	125
deacon	90895	1124	1129	1181	1892	2241	1831	2472	2066	4081
deacon	3168	47	38	58	69	121	117	101	89	166
deacon	6990	76	68	126	91	228	159	190	133	285
deacon	145	2	3	5	7	3	4	4	0	7
deacon	3226	43	33	62	74	175	119	229	96	176
deacon	12267	264	242	335	407	1057	517	671	413	582
deacon	3805	67	53	73	101	181	109	155	97	186
deacon	29702	466	449	573	716	959	903	979	733	1369
deacon	13	0	1	0	0	3	0	0	0	0
deacon	850	7	8	10	12	10	15	17	7	29
antique dealer	89	0	1	3	3	6	1	1	0	1
antique dealer	311	9	10	11	20	10	21	9	6	12
antique dealer	37	1	3	0	1	1	0	2	1	1
antique dealer	23	1	2	0	1	2	2	2	0	0
antique dealer	38	1	0	2	1	5	0	0	0	1
antique dealer	65	0	1	2	0	4	4	3	2	3
drug dealer	100	5	6	6	11	8	11	7	2	11
drug dealer	23	0	0	2	0	3	1	7	4	0
drug dealer	934	58	40	68	57	97	87	88	70	50
drug dealer	96	2	10	5	7	10	2	5	9	6
drug dealer	136	6	11	5	17	9	20	14	14	6
drug dealer	123	6	5	11	4	15	17	18	14	6
drug dealer	240	10	7	29	17	20	19	18	12	15
antique dealer	109	3	3	4	4	4	2	3	2	4
antique dealer	116	2	9	4	5	11	6	10	4	0
antique dealer	1252	32	38	50	81	41	45	52	43	39
antique dealer	52	2	1	0	1	0	2	4	2	3
antique dealer	157	4	4	10	11	5	15	11	0	3
antique dealer	409	6	13	29	19	25	15	15	16	16
antique dealer	14	0	0	1	0	3	4	1	0	1
antique dealer	1213	35	16	49	45	54	39	38	44	22
antique dealer	356	11	8	17	12	11	21	16	8	4
antique dealer	28	3	0	0	2	0	1	0	0	1
drug dealer	11	1	0	0	0	2	0	1	0	2
drug dealer	37	6	0	0	7	0	1	2	2	1
drug dealer	231	16	11	10	15	25	21	25	17	16
drug dealer	1316	72	89	70	86	115	109	105	77	74
drug dealer	8447	410	469	562	658	637	717	705	719	527
drug dealer	323	23	12	12	20	31	19	26	28	30
drug dealer	3437	155	188	204	238	275	298	233	204	194
drug dealer	69	4	4	2	3	7	3	6	6	4
drug dealer	5270	281	269	348	373	359	404	415	360	278
drug dealer	441	33	18	13	24	28	43	25	23	18
drug dealer	9454	473	536	593	625	670	691	594	558	525
cake decorator	56	2	3	5	1	5	3	2	7	2
cake decorator	31	0	0	0	0	0	0	0	0	0
interior decorator	24	1	0	0	0	1	0	0	0	0
interior decorator	254	3	5	9	5	3	16	1	2	4
interior decorator	25	0	2	0	0	1	0	0	2	0
interior decorator	1690	26	28	50	52	54	48	52	47	22
interior decorator	101	1	4	5	5	4	1	0	3	1
interior decorator	107	0	2	5	1	3	4	8	4	1
interior decorator	40	0	1	0	0	2	3	1	2	0
interior decorator	281	11	7	2	8	5	6	8	4	5
interior decorator	15	0	0	0	0	0	0	0	1	0
cake decorator	34	3	0	1	0	1	5	2	2	3
cake decorator	25	0	0	0	0	0	2	3	11	2
cake decorator	45	2	3	3	1	0	1	4	4	0
interior decorator	18	0	0	0	0	0	1	0	0	0
interior decorator	183	4	0	8	0	2	12	4	7	4
interior decorator	209	5	4	2	7	7	9	10	8	4
interior decorator	2342	74	46	58	78	60	71	65	55	51
interior decorator	69	1	0	1	1	0	1	1	0	1
interior decorator	267	3	3	9	5	7	32	10	10	11
interior decorator	876	30	12	15	32	29	36	24	38	19
interior decorator	60	0	0	0	2	2	4	2	2	2
interior decorator	1595	50	29	28	51	47	51	37	48	27
interior decorator	30	0	0	0	0	0	0	0	1	0
interior decorator	14	0	0	0	8	0	0	0	0	0
dentist	199	8	3	5	3	4	2	2	7	6
dentist	38	0	0	2	1	0	1	1	0	3
dentist	67	2	0	1	2	1	1	6	6	0
dentist	131	7	2	4	0	2	1	0	5	2
dentist	3792	65	48	57	41	53	50	51	79	66
dentist	236	3	9	6	1	2	4	8	8	4
dentist	54	0	2	1	0	1	1	2	3	1
dentist	38415	760	912	988	1097	1111	1153	1203	829	932
dentist	17838	447	328	507	423	527	484	370	455	512
dentist	2279	39	63	61	61	67	58	55	134	107
dentist	18	1	2	0	0	3	0	0	0	0
dentist	26576	940	791	1101	1051	1298	1252	1152	1127	965
dentist	2479	37	43	74	64	56	78	31	60	58
dentist	164	3	1	5	3	5	6	1	3	11
dentist	6874	93	110	167	151	165	130	150	290	217
dentist	30	0	2	1	0	0	2	0	0	1
dentist	40	0	1	1	0	0	0	3	1	1
dentist	83	2	0	2	0	3	0	1	1	1
dentist	21	0	0	1	1	2	0	0	1	1
dentist	12	0	0	0	0	0	0	0	0	0
dentist	641	5	8	8	19	6	6	8	12	5
dentist	2244	28	48	48	51	54	51	46	40	58
dentist	2064	55	39	67	68	49	65	62	59	77
dentist	11	0	0	1	0	0	0	1	1	0
dentist	75958	1645	1642	1865	1930	2424	2011	1980	1824	1475
dentist	3279	118	62	103	82	67	72	77	62	66
dentist	7385	225	141	223	175	199	149	144	103	142
dentist	382	19	4	8	14	7	6	9	7	9
dentist	3169	65	72	92	107	107	77	126	117	55
dentist	38502	1462	810	1484	1048	1072	944	857	737	748
dentist	4838	184	70	196	135	121	85	93	53	80
dentist	48367	1125	696	1083	898	977	921	848	674	814
dentist	12	0	0	0	0	0	0	2	0	0
deputy	11	0	2	0	0	0	0	0	0	0
deputy	11	0	0	0	0	0	0	0	0	3
deputy	64	0	2	0	1	1	0	0	1	7
deputy	24	0	0	0	0	0	0	1	2	2
deputy	203	0	4	0	1	0	2	0	3	4
deputy	22	0	0	0	0	1	0	1	0	0
deputy	23	0	0	2	0	1	0	1	0	2
deputy	45	0	0	0	0	0	0	0	0	0
deputy	19	0	0	0	0	0	0	0	1	1
deputy	245	6	2	6	2	2	22	1	1	7
deputy	876	9	58	6	11	11	8	14	14	27
deputy	3293	57	53	58	83	65	72	63	57	94
deputy	36990	509	534	594	651	843	623	766	819	1038
deputy	6772	76	86	125	83	103	84	116	108	135
deputy	40228	352	467	528	471	557	425	646	633	1133
deputy	355	11	13	11	9	10	7	5	3	9
deputy	5766	136	147	161	133	186	191	196	177	170
deputy	28462	630	828	1102	804	745	620	877	847	938
deputy	10796	139	119	173	154	169	102	166	215	222
deputy	104699	1319	1600	1667	1580	1554	1495	1710	1847	2384
deputy	21	0	0	0	0	0	0	0	0	0
deputy	357	8	0	11	20	1	4	4	10	4
designer	686	60	16	14	36	41	7	10	17	12
designer	87	1	5	8	3	6	6	5	8	1
designer	75	1	1	6	2	4	3	6	6	5
designer	321	12	13	18	34	9	19	15	18	14
designer	7702	209	217	220	353	249	291	298	257	776
designer	543	9	17	22	24	32	41	27	36	21
designer	23	0	0	0	0	1	6	1	2	0
designer	52119	1669	1850	2069	2250	2088	1922	1785	1684	1665
designer	28063	973	1166	1822	1768	1337	1205	1304	1400	1311
designer	4041	146	138	170	216	197	248	213	240	145
designer	69	2	4	3	4	0	5	5	0	2
designer	240732	10250	12032	14962	16679	18483	17040	17186	16790	14328
designer	6144	233	255	296	422	330	299	417	576	327
designer	336	10	31	16	16	10	22	15	18	9
designer	8834	247	351	405	476	476	344	403	372	304
designer	70	1	10	3	3	2	0	1	6	0
designer	32	5	1	2	0	1	1	2	1	0
designer	135	4	6	2	8	4	7	8	11	2
graphic designer	10	0	0	1	0	4	0	1	1	1
graphic designer	469	22	34	15	17	20	23	23	38	15
graphic designer	2060	101	94	131	129	168	106	153	136	96
graphic designer	178	7	6	24	7	10	22	9	3	6
graphic designer	88	2	5	6	11	2	6	4	4	2
graphic designer	211	0	12	7	68	42	4	10	6	8
graphic designer	10	1	0	4	1	0	1	1	0	0
graphic designer	201	7	10	19	22	18	10	17	6	6
designer	19	0	0	0	2	1	1	3	1	0
designer	10	0	0	7	0	0	0	0	1	0
designer	39	1	0	4	2	3	4	1	1	2
designer	27	0	0	3	1	2	2	2	0	0
designer	258	17	7	3	20	11	39	5	9	3
designer	3234	96	107	122	177	123	53	81	78	63
designer	1983	78	84	84	113	87	72	123	108	99
designer	16	2	2	2	0	0	0	1	0	0
designer	94439	3347	3990	4619	5083	4720	4289	4198	4203	3420
designer	6952	288	290	346	384	364	282	289	307	225
designer	22391	864	1071	1301	1621	1263	1137	1122	1161	906
designer	3341	124	239	241	255	193	154	191	194	121
designer	12005	494	548	623	732	699	588	557	641	399
designer	164147	6455	9268	9210	12438	9831	8384	8974	9315	6824
designer	9322	344	453	470	560	464	383	480	465	358
designer	66543	2434	3161	3376	3915	3185	2780	3243	3093	2362
designer	42	0	1	1	8	3	0	2	1	0
graphic designer	23	0	0	0	0	0	0	2	19	1
graphic designer	168	7	9	11	12	13	10	4	9	11
graphic designer	193	5	21	14	16	14	13	18	9	10
graphic designer	3813	133	229	239	299	253	208	339	559	152
graphic designer	137	4	8	11	21	10	3	4	8	3
graphic designer	496	15	29	34	41	37	32	37	26	12
graphic designer	46	3	7	3	4	2	3	0	3	1
graphic designer	3160	108	240	255	313	183	267	196	225	221
graphic designer	317	4	24	37	14	24	24	11	20	20
graphic designer	2603	97	191	213	190	178	242	162	126	139
graphic designer	12	0	0	0	2	1	1	0	2	0
graphic designer	10	0	1	1	0	0	0	1	3	0
detective	29	0	6	1	5	3	0	1	0	0
detective	248	19	13	3	3	47	4	43	2	8
detective	116	1	4	6	5	3	5	11	6	1
detective	169	11	8	15	11	17	16	16	11	14
detective	294	8	12	15	15	17	13	31	14	22
detective	2591	67	77	153	104	195	154	191	207	157
detective	1784	54	60	124	121	175	140	136	151	96
detective	103	4	2	7	5	17	14	14	7	11
detective	15348	420	517	528	615	686	686	633	673	587
detective	23039	768	466	682	1462	808	866	832	893	1561
detective	12519	430	547	744	970	844	963	855	997	769
detective	151	3	4	6	6	14	14	10	9	16
detective	461708	13879	13749	13959	17281	20291	18525	18668	17878	17536
detective	3595	88	115	146	184	237	217	242	206	221
detective	144	3	5	4	1	8	8	2	7	7
detective	9659	333	375	386	437	486	454	576	556	494
detective	11	1	0	0	0	4	0	1	0	4
detective	277	16	22	15	22	25	45	26	28	14
detective	292	12	16	15	25	35	37	31	32	22
detective	136	0	0	1	1	1	1	1	1	4
detective	24	0	1	1	0	1	1	1	8	0
private detective	366	6	13	10	13	26	18	11	16	14
private detective	32	0	1	2	2	0	0	1	4	1
private detective	446	11	14	11	24	16	10	24	15	15
private detective	124	4	13	2	6	4	6	4	7	4
private detective	394	11	11	20	23	14	30	22	31	24
private detective	179	3	7	14	11	3	12	13	9	6
private detective	566	15	19	16	18	15	23	27	29	29
detective	12	2	0	0	6	0	1	0	1	1
detective	118	0	1	2	10	3	0	4	5	2
detective	632	15	7	13	12	27	19	33	32	35
detective	4879	147	143	167	246	224	251	235	260	315
detective	19697	432	438	531	717	700	740	823	775	850
detective	3132	77	71	81	89	119	98	158	143	140
detective	11653	305	308	333	515	620	481	500	639	788
detective	376	16	7	17	21	24	25	31	28	31
detective	6628	296	342	310	446	470	500	580	493	390
detective	34319	1313	1067	1235	1901	2032	1954	2041	1903	2240
detective	3600	73	75	76	126	128	122	154	121	215
detective	35502	922	1016	1085	1473	1447	1366	1561	1531	1899
detective	45	2	0	11	2	1	5	0	0	0
private detective	151	4	7	2	3	9	5	5	16	6
private detective	297	9	7	12	19	18	10	13	22	19
private detective	1599	38	24	42	55	57	61	55	54	42
private detective	74	2	0	0	5	5	3	0	3	3
private detective	2378	76	79	98	92	103	114	89	108	98
private detective	15	1	2	0	0	1	0	0	1	0
private detective	1434	55	33	30	46	48	58	78	162	39
private detective	502	6	19	16	25	12	18	8	13	26
private detective	3191	72	73	90	103	93	117	98	124	142
dietician	13	0	0	0	0	1	1	0	4	1
dietician	169	1	4	5	7	8	7	1	1	3
dietician	2495	85	59	92	109	146	140	153	157	116
dietician	131	6	7	5	3	8	0	6	0	7
dietician	133	5	2	2	2	19	4	9	3	1
dietician	264	14	18	16	11	6	28	17	10	12
dietician	57	0	1	0	2	0	10	5	1	4
dietician	13	0	0	0	0	3	0	0	0	0
dietician	395	5	7	11	14	10	8	13	18	13
dietician	40	3	2	0	2	1	0	0	2	1
dietician	10	0	0	0	0	1	0	1	0	0
dietician	146	3	7	8	9	13	4	2	4	4
dietician	34	1	1	3	0	3	2	0	5	0
dietician	4255	122	138	149	217	267	216	230	219	169
dietician	79	2	0	2	2	6	5	5	5	0
dietician	125	4	2	9	4	10	6	2	7	2
dietician	74	1	3	3	5	3	4	4	10	3
dietician	1138	37	28	86	43	78	68	62	63	50
dietician	138	7	1	9	2	11	6	5	11	6
dietician	816	35	17	42	25	31	36	30	43	27
diplomat	64	5	10	2	1	1	1	1	1	0
diplomat	16	0	1	0	0	1	0	0	0	0
diplomat	64	0	0	3	0	1	2	1	0	2
diplomat	356	9	6	11	13	9	9	12	8	7
diplomat	6370	89	93	90	102	130	97	94	107	93
diplomat	165	2	6	4	5	4	6	4	5	2
diplomat	12	0	0	0	0	0	0	2	0	0
diplomat	44693	1167	1197	1094	1146	1177	1496	1245	1289	830
diplomat	4644	131	115	138	146	135	135	164	129	121
diplomat	1142	15	17	38	29	47	39	34	46	37
diplomat	28675	1009	1118	1018	1170	1273	1145	1277	1291	988
diplomat	673	11	22	19	22	34	22	20	17	17
diplomat	58	0	2	1	1	3	2	1	2	1
diplomat	16	1	0	1	0	1	0	1	1	0
diplomat	3365	95	72	67	70	94	116	92	107	124
diplomat	13	0	1	0	0	0	1	0	0	3
diplomat	25	1	0	0	0	2	0	0	0	1
diplomat	52	0	0	0	0	0	0	2	0	6
diplomat	96	2	1	5	1	0	1	5	1	0
diplomat	1042	28	22	28	29	31	38	21	43	40
diplomat	2525	60	57	65	80	85	109	97	121	77
diplomat	11	0	0	0	5	0	0	0	0	1
diplomat	60838	1639	1831	1953	2112	2084	1991	2065	2276	1822
diplomat	2921	84	63	92	102	73	90	100	106	63
diplomat	6542	194	222	254	221	196	214	228	243	163
diplomat	174	4	4	10	6	10	3	7	7	6
diplomat	2687	81	64	82	109	77	76	101	103	67
diplomat	25037	650	784	861	804	946	804	740	944	837
diplomat	3343	94	126	103	76	97	82	89	113	74
diplomat	32957	788	823	895	922	992	879	889	1008	813
diplomat	41	3	6	3	0	0	2	2	2	0
company director	17	0	1	0	0	0	1	0	0	0
company director	361	5	14	9	6	12	5	5	9	4
company director	20	5	0	1	0	0	2	2	0	0
company director	917	16	17	16	17	20	18	27	22	7
company director	64	1	3	1	2	0	2	0	1	2
company director	37	1	3	1	1	2	0	1	0	1
company director	40	2	0	2	0	0	1	1	1	0
company director	224	9	8	17	9	9	10	8	3	9
company director	12	1	0	0	2	1	0	0	1	0
company director	45	0	1	2	0	1	0	2	0	0
company director	14	0	0	0	0	0	0	2	0	0
company director	25	1	4	0	0	0	0	0	0	1
film director	11	0	3	0	0	0	0	0	0	1
film director	10	2	0	0	0	0	1	0	0	1
film director	763	11	28	15	29	34	26	23	48	7
film director	24	1	0	0	1	1	3	3	0	0
film director	2350	128	85	92	108	97	129	145	99	46
film director	292	18	10	8	32	15	23	11	12	19
film director	118	3	10	1	14	8	3	6	6	2
film director	82	3	0	2	3	4	10	2	7	0
film director	431	12	10	21	25	20	19	27	11	12
film director	22	0	0	0	0	0	1	2	2	0
film director	129	4	0	2	1	5	2	1	6	1
film director	10	0	3	0	0	2	0	1	0	3
funeral director	29	0	0	0	0	0	0	0	0	0
funeral director	172	10	2	2	5	2	8	0	4	5
funeral director	35	1	1	1	1	0	1	0	1	0
funeral director	902	32	31	25	29	47	41	36	35	26
funeral director	133	0	7	7	6	1	4	2	5	2
funeral director	61	1	4	1	4	1	7	2	0	3
funeral director	148	1	3	2	3	9	7	4	7	2
funeral director	19	0	0	0	0	0	0	0	0	0
funeral director	137	0	7	8	1	6	4	2	6	3
funeral director	12	0	0	1	1	0	1	0	0	0
funeral director	13	1	1	0	1	2	0	0	0	1
funeral director	283	13	7	7	7	11	4	13	4	9
theatre director	141	2	2	4	2	5	2	5	2	2
theatre director	11	1	0	1	1	0	0	3	0	0
theatre director	988	38	38	49	31	49	29	47	35	21
theatre director	82	3	1	6	7	0	4	1	11	1
theatre director	13	0	0	1	0	1	1	2	1	0
theatre director	210	7	7	6	4	1	2	16	7	4
theatre director	31	1	0	0	0	2	1	1	0	1
company director	27	1	1	0	0	3	1	0	2	1
company director	14	0	1	3	0	0	1	2	0	0
company director	28	1	2	0	0	8	1	0	3	1
company director	63	5	3	2	0	2	4	1	5	0
company director	344	7	9	11	16	8	14	5	8	7
company director	1752	60	63	76	70	63	57	92	80	34
company director	91	1	6	4	4	7	3	3	11	3
company director	422	26	13	22	21	12	19	19	19	11
company director	19	0	1	2	0	1	2	2	4	0
company director	1485	62	73	67	73	84	77	122	95	66
company director	257	10	14	12	13	19	20	12	16	8
company director	3005	113	135	120	129	162	158	182	228	144
company director	61	3	7	10	6	0	17	0	4	7
company director	24	0	0	3	2	1	1	0	0	0
company director	11	0	0	0	0	1	3	0	2	1
company director	21	2	0	4	0	1	1	2	10	0
film director	32	1	0	4	0	0	2	3	0	1
film director	18	0	1	0	0	1	0	0	0	0
film director	71	0	5	3	2	3	0	1	3	1
film director	176	3	14	6	8	7	5	10	5	3
film director	2152	88	102	86	117	93	132	86	105	74
film director	160	6	0	1	4	9	20	8	11	4
film director	286	17	13	11	15	20	12	11	19	8
film director	19	0	3	1	0	0	1	0	0	1
film director	13	0	0	3	0	0	0	0	0	0
film director	1308	53	56	68	76	104	63	78	42	34
film director	133	5	3	7	9	3	8	7	3	7
film director	1563	85	71	83	69	63	81	75	54	39
funeral director	40	1	1	1	0	0	0	0	9	0
funeral director	172	3	9	14	15	12	10	2	9	3
funeral director	26	0	0	0	0	0	2	3	0	0
funeral director	100	2	6	4	1	2	1	14	6	0
funeral director	290	5	14	8	9	10	11	19	8	12
funeral director	16	0	1	1	6	1	1	0	0	0
funeral director	11	0	0	0	1	0	1	0	0	0
funeral director	1661	67	76	78	84	55	87	38	34	48
funeral director	217	7	7	11	15	10	7	5	4	4
funeral director	291	8	7	11	10	8	6	6	11	7
funeral director	161	2	2	3	3	2	1	3	6	9
funeral director	32	0	2	1	0	0	2	3	3	1
funeral director	2557	55	78	86	196	87	117	97	80	47
funeral director	23	0	0	0	0	0	1	0	2	0
funeral director	250	9	5	15	8	3	14	13	7	4
funeral director	1406	52	61	51	119	49	83	61	31	23
funeral director	145	3	4	4	7	2	5	3	3	3
funeral director	2767	90	90	83	144	88	123	88	73	49
funeral director	19	0	0	0	0	0	2	0	1	0
funeral director	19	1	4	0	1	1	0	2	0	0
theatre director	15	0	2	1	1	0	1	2	0	0
theatre director	15	0	0	5	0	1	0	0	0	0
theatre director	19	4	0	0	0	0	0	0	0	1
theatre director	449	17	8	10	23	25	10	29	17	15
theatre director	57	2	1	2	4	1	2	8	2	0
theatre director	138	7	3	9	8	4	1	8	7	7
theatre director	13	3	0	0	1	0	0	2	0	0
theatre director	270	8	10	4	12	13	4	9	4	3
theatre director	105	4	4	1	1	12	7	1	10	3
theatre director	12	0	1	0	0	0	1	1	0	1
scuba diver	21	0	0	1	1	0	4	5	1	1
scuba diver	33	1	1	4	0	0	0	0	0	0
scuba diver	31	0	0	5	0	0	0	1	1	0
scuba diver	45	3	1	1	0	4	4	3	2	1
scuba diver	344	18	14	21	24	20	13	25	8	13
scuba diver	25	0	6	16	0	0	0	0	0	0
scuba diver	22	0	1	1	1	1	1	2	2	1
scuba diver	14	0	2	0	0	0	0	0	1	0
scuba diver	19	0	0	1	4	1	1	2	0	0
scuba diver	37	3	2	7	2	3	0	1	0	0
scuba diver	62	1	4	5	3	5	8	5	3	2
scuba diver	509	14	20	28	28	31	19	44	26	23
scuba diver	19	0	0	0	0	5	1	2	1	2
scuba diver	41	5	1	0	3	5	0	4	2	1
scuba diver	491	23	20	15	26	32	25	31	39	21
scuba diver	41	3	1	1	1	1	3	0	5	3
scuba diver	244	15	15	11	6	19	9	17	13	6
scuba diver	31	3	0	1	0	0	3	0	1	1
scuba diver	13	2	0	0	0	0	1	1	1	0
scuba diver	1033	47	52	39	38	54	41	54	49	37
scuba diver	475	37	24	28	20	30	17	35	28	15
scuba diver	1801	97	77	84	90	86	77	127	92	57
scuba diver	144	7	6	4	3	4	9	6	5	2
scuba diver	2591	93	99	108	145	143	96	116	106	64
scuba diver	102	3	1	7	2	1	2	4	1	1
scuba diver	56	0	3	9	3	2	1	0	2	1
scuba diver	132	6	3	2	1	4	6	4	4	6
scuba diver	16	0	1	0	0	1	0	1	0	0
scuba diver	481	34	26	17	9	25	12	11	7	15
scuba diver	13	0	0	2	1	1	1	2	3	0
medical doctor	56	0	0	1	0	0	0	0	1	0
medical doctor	611	16	5	10	24	30	30	26	16	15
medical doctor	75	2	0	1	1	4	15	2	0	3
medical doctor	1954	67	86	96	74	118	110	137	107	88
medical doctor	593	16	25	33	41	23	34	31	22	24
medical doctor	270	14	5	11	12	11	10	9	14	6
medical doctor	243	7	13	6	15	14	11	11	13	4
medical doctor	19	1	0	0	1	1	6	1	2	1
medical doctor	862	39	16	29	32	43	65	73	29	28
medical doctor	18	0	0	0	0	1	1	1	3	0
medical doctor	27	0	1	1	0	1	0	0	0	0
doctor of philosophy	31	0	0	0	1	0	2	0	0	4
doctor of philosophy	49	1	0	0	1	1	1	0	0	0
doctor of philosophy	183	1	1	3	2	5	3	3	1	6
doctor of philosophy	106	1	2	2	1	0	1	2	0	1
doctor of philosophy	279	2	2	0	6	2	7	7	3	6
doctor of philosophy	50	1	0	1	1	1	0	0	0	0
doctor of philosophy	42	0	0	1	0	2	0	0	1	1
doctor of philosophy	44	2	1	1	0	0	0	0	0	1
doctor of philosophy	75	0	3	1	0	1	2	7	0	0
doctor of philosophy	20	0	0	0	0	2	0	0	1	0
doctor of philosophy	159	0	4	1	1	6	2	1	2	1
doctor of philosophy	69	0	0	0	0	1	0	4	2	1
doctor of philosophy	39	0	0	0	0	0	1	1	5	5
doctor of philosophy	414	4	4	4	10	2	8	20	11	11
doctor of philosophy	277	4	0	0	0	0	4	0	5	5
medical doctor	61	0	4	4	0	2	0	0	1	0
medical doctor	429	14	11	28	18	31	19	21	20	13
medical doctor	2699	131	107	131	131	147	126	123	143	99
medical doctor	7877	289	330	430	400	382	439	406	366	326
medical doctor	487	19	16	15	19	27	31	10	24	20
medical doctor	2002	90	80	95	102	91	120	112	91	93
medical doctor	38	2	0	0	2	0	0	0	1	4
medical doctor	7029	246	315	361	389	414	394	357	381	248
medical doctor	901	21	46	33	37	67	50	51	63	35
medical doctor	10895	393	455	519	551	549	568	611	533	349
medical doctor	17	0	0	0	0	1	0	0	0	0
medical doctor	14	1	1	0	1	0	0	0	0	0
medical doctor	14	2	1	0	1	0	2	0	1	0
medical doctor	18	0	2	0	4	1	2	2	1	0
medical doctor	18	0	0	0	2	1	0	3	2	0
dressmaker	123	1	3	0	0	1	0	1	1	4
dressmaker	17	1	0	2	1	0	2	0	4	0
dressmaker	47	2	0	0	1	2	4	3	2	1
dressmaker	649	15	3	7	8	8	10	13	9	25
dressmaker	86	1	2	4	1	1	3	0	6	1
dressmaker	3921	60	72	67	73	101	74	85	125	209
dressmaker	5058	59	82	46	99	155	94	107	251	430
dressmaker	154	0	4	1	5	1	2	3	7	8
dressmaker	3299	78	80	77	78	103	82	114	130	142
dressmaker	195	6	3	4	5	7	2	2	15	8
dressmaker	42	0	0	0	1	1	0	2	2	3
dressmaker	525	13	11	3	8	16	18	17	25	33
dressmaker	173	0	0	2	2	0	1	0	6	4
dressmaker	373	3	5	0	1	6	4	4	11	15
dressmaker	626	21	9	6	15	15	20	15	21	39
dressmaker	10970	159	199	232	225	234	264	225	344	459
dressmaker	516	4	4	6	11	18	13	10	12	22
dressmaker	526	10	6	18	22	14	14	14	18	36
dressmaker	23	0	0	0	0	2	0	1	1	2
dressmaker	602	13	12	23	21	16	18	20	16	14
dressmaker	2366	74	34	35	47	48	55	57	81	144
dressmaker	219	8	7	6	2	6	4	15	9	12
dressmaker	3489	88	66	62	59	55	68	82	106	202
driver	18	0	0	1	0	3	0	0	1	1
