Concept	PROP_W	TOTAL_GEN_FREQ
navajo [men/male/women/female]	0.6493338267949667	5404
choctaw [men/male/women/female]	0.7103274559193955	1588
latvian [men/male/women/female]	0.7567359507313318	1299
chukchi [men/male/women/female]	0.6068376068376068	117
chumash [men/male/women/female]	0.6015325670498084	261
nepalese [men/male/women/female]	0.7807456872565387	1797
nepali [men/male/women/female]	0.8123872519542995	3326
circassian [men/male/women/female]	0.8501529051987767	981
druze [men/male/women/female]	0.7213785046728972	1712
angolan [men/male/women/female]	0.8160535117056856	598
lebanese [men/male/women/female]	0.7335811648079306	4842
dutch [men/male/women/female]	0.6270094596947362	17231
shan [men/male/women/female]	0.8390941597139452	839
lenape [men/male/women/female]	0.6502347417840375	426
apache [men/male/women/female]	0.608817137534927	3221
new zealand [men/male/women/female]	0.8446362515413071	6488
powhatan [men/male/women/female]	0.6085011185682326	447
yugoslav [men/male/women/female]	0.8358831710709318	719
east asian [men/male/women/female]	0.802771855010661	1876
greek [men/male/women/female]	0.6358323186641155	28745
zambian [men/male/women/female]	0.8	1320
zanzibari [men/male/women/female]	0.8654646324549237	721
zapotec [men/male/women/female]	0.9286624203821656	785
greenlandic [men/male/women/female]	0.6985915492957746	355
zimbabwean [men/male/women/female]	0.847003682624707	2987
nicaraguan [men/male/women/female]	0.8081500180310134	2773
nigerian [men/male/women/female]	0.8534141414141414	12375
ecuadorian [men/male/women/female]	0.835698282300224	1339
liberian [men/male/women/female]	0.9023558586484811	3226
shona [men/male/women/female]	0.7803921568627451	1020
trinidadian [men/male/women/female]	0.6822323462414579	878
libyan [men/male/women/female]	0.8298440979955457	2245
arab [men/male/women/female]	0.7472740663565001	55669
shoshone [men/male/women/female]	0.7752525252525253	1188
guatemalan [men/male/women/female]	0.8637670740474479	2782
arapaho [men/male/women/female]	0.6370481927710844	664
guinean [men/male/women/female]	0.7370600414078675	966
gujarati [men/male/women/female]	0.7937853107344632	708
argentine [men/male/women/female]	0.8086988573534832	2713
argentinian [men/male/women/female]	0.8097928436911488	531
egyptian [men/male/women/female]	0.81811695151371	29431
tswana [men/male/women/female]	0.6924829157175398	439
guyanese [men/male/women/female]	0.7348993288590604	596
tunisian [men/male/women/female]	0.9002143831611772	5131
sierra leonean [men/male/women/female]	0.8580750407830342	613
armenian [men/male/women/female]	0.6630106937208665	7294
turkish [men/male/women/female]	0.7843785265194261	24812
turkmen [men/male/women/female]	0.9273049645390071	564
haida [men/male/women/female]	0.6217105263157895	304
tuscarora [men/male/women/female]	0.6287878787878788	132
tutsi [men/male/women/female]	0.8710147273021525	6179
haitian [men/male/women/female]	0.803274061529777	7086
lisu [men/male/women/female]	0.7142857142857143	343
lithuanian [men/male/women/female]	0.7691835481890731	1629
han chinese [men/male/women/female]	0.7071320182094082	659
colombian [men/male/women/female]	0.853516295025729	2915
north african [men/male/women/female]	0.7351761034329024	2243
north american [men/male/women/female]	0.8065476190476191	7728
asian [men/male/women/female]	0.7516126836076455	117506
north korean [men/male/women/female]	0.8875136512559155	2747
singapore [men/male/women/female]	0.8161350844277674	1066
singaporean [men/male/women/female]	0.7057739557739557	1628
ugandan [men/male/women/female]	0.8733723958333334	3072
northern irish [men/male/women/female]	0.8664596273291926	644
ukrainian [men/male/women/female]	0.8152264057057556	6029
norwegian [men/male/women/female]	0.6821628340584214	8045
comanche [men/male/women/female]	0.6001367053998633	1463
assamese [men/male/women/female]	0.8409090909090909	396
lombard [men/male/women/female]	0.6878612716763006	173
nubian [men/male/women/female]	0.705078125	1024
assyrian [men/male/women/female]	0.6153153153153154	1110
sinhalese [men/male/women/female]	0.6354344122657581	587
hausa [men/male/women/female]	0.7398265510340227	2998
hawaiian [men/male/women/female]	0.6433717579250721	5552
haya [men/male/women/female]	0.7613636363636364	264
australian [men/male/women/female]	0.7992750141939993	45794
austrian [men/male/women/female]	0.7750759878419453	3290
slovak [men/male/women/female]	0.8331996792301524	1247
slovenian [men/male/women/female]	0.850974930362117	718
maasai [men/male/women/female]	0.6114449213161659	3495
macedonian [men/male/women/female]	0.6919561243144424	1094
herero [men/male/women/female]	0.675022381378693	1117
ojibwe [men/male/women/female]	0.6725197541703248	1139
united kingdom [men/male/women/female]	0.7090909090909091	275
congolese [men/male/women/female]	0.7562064156206416	3585
eritrean [men/male/women/female]	0.8940949935815148	1558
