ID	HEADING	CLEANED	LANGUAGE	LCC	TYPE	YEAR_ADDED	YEAR_REVISED	BT	NT	SYNONYMS	YEAR_DEPRECATED	FORMER_HEADINGS	DELETION_NOTE	GENDER	GENDER_WORD
sh2003002956	_Television receivers as musical instruments	television receivers as musical instruments	en	None	Topic	2003	None	None	None	None	2013-03-12T13:48:36	None	This authority record has been deleted because the heading is no longer valid.		
sh2003003052	_Nature videos	nature videos	en	None	Topic	2003	None	None	None	None	2010-01-07T13:42:06	None	This authority record has been deleted because the heading is covered by the subject heading {Nature films} (sh 93008140).		
sh2003003075	_Anime	anime	en	None	Topic	2003	None	None	None	None	2023-12-15T09:45:20	None	This authority record has been deleted because the heading is covered by the subject headings {Anime (Motion pictures)} (DLC)sh2023001263 and {Anime (Television programs)} (DLC)sh2023001264		
sh2003003076	_Japanimation	japanimation	en	None	Topic	2003	None	None	None	None	2023-12-15T09:45:21	None	This authority record has been deleted because the heading is covered by the subject headings {Anime (Motion pictures)} (DLC)sh2023001263 and {Anime (Television programs)} (DLC)sh2023001264		
sh2003004595	_Wildlife videos	wildlife videos	en	None	Topic	2003	None	None	None	None	2010-01-07T14:00:37	None	This authority record has been deleted because the heading is covered by the subject heading {Wildlife films} (sh 93008162).		
sh2003004835	_Animated videos	animated videos	en	None	Topic	2003	None	None	None	None	2010-01-07T12:41:23	None	This authority record has been deleted because the heading is covered by the subject heading {Animated films} (sh 85088032).		
sh2003008955	_Bundles of personal belongings	bundles of personal belongings	en	None	Topic	2003	None	None	None	None	2013-10-23T17:18:47	None	This authority record has been deleted because the heading is covered by the subject heading {Personal belongings} (sh 85100103).		
sh2003011152	_Themidaceae	themidaceae	en	None	Topic	2003	None	None	None	None	2013-09-26T09:18:19	None	This authority record has been deleted because the heading is covered by the subject heading {Asparagaceae} (sh2003011151).		
sh2003011155	_Aphyllanthaceae	aphyllanthaceae	en	None	Topic	2003	None	None	None	None	2013-09-26T09:16:35	None	This authority record has been deleted because the heading is covered by the subject heading {Asparagaceae} (sh2003011151).		
sh2003011157	_Hyacinthaceae	hyacinthaceae	en	None	Topic	2003	None	None	None	None	2013-09-26T09:17:31	None	This authority record has been deleted because the heading is covered by the subject heading {Asparagaceae} (sh2003011151).		
sh2003011286	_Italian American gays	italian american gays	en	None	Topic	2004	None	None	None	None	2023-11-30T10:57:58	None	This authority record has been deleted because the heading is covered by the subject headings {Italian American gay men} (DLC)sp2023002502 and {Italian American gay people} (DLC)sp2023002501		
sh2004004772	_Concentration camp theater	concentration camp theater	en	None	Topic	2004	None	None	None	None	2021-07-20T08:25:21	None	This authority record has been deleted because the heading is covered by the subject headings {Internment camp theater} (DLC)sh2021004054 and {Nazi concentration camp theater} (DLC)sh2021004055		
sh2004004861	_Folk literature, Karachay	karachay folk literature	en	None	Topic	2004	None	None	None	None	2016-06-02T12:45:38	None	This authority record has been deleted because the heading is covered by the subject heading {Folk literature, Karachay-Balkar} (DLC)sh2016000772		
sh2005000056	_College science teachers	college science teachers	en	None	Topic	2005	None	None	None	None	2014-01-16T13:53:08	None	This authority record has been deleted because the heading is covered by the subject headings {College teachers} (sh 85028378) and {Science teachers} (sh 85118675).		
sh2005001761	_Idaho ground squirrel	idaho ground squirrel	en	None	Topic	2005	None	None	None	None	2020-09-04T13:10:10	None	This authority record has been deleted because the heading is covered by the subject headings {Northern Idaho ground squirrel} (DLC)sh2020006293 and {Southern Idaho ground squirrel} (DLC)sh2020006294		
sh2005002127	_Biologically-inspired computing	biologically inspired computing	en	None	Topic	2005	None	None	None	None	2016-08-11T17:28:56	None	This authority record has been deleted because the subject is covered by the subject heading {Natural computation} (DLC)sh 2008004861		
sh2005003626	_G.R.A.M. (Group of artists)	g r a m ( group of artists )	en	None	Topic	2005	None	None	None	None	2014-03-28T16:37:27	None	This authority record has been deleted because the subject heading is covered by an identical name heading (no2008047459).		
sh2005005555	_Winter wren	winter wren	en	None	Topic	2005	None	None	None	None	2011-11-15T14:31:02	None	This authority record has been deleted because the heading is covered by the subject headings {Pacific wren} (sp 2011003941) {Eurasian wren} (sp 2011003942) and {Troglodytes hiemalis} (sp 2011003943).		
sh2005006460	_South Carolina SAT (Educational test)	south carolina sat ( educational test )	en	None	Topic	2005	None	None	None	None	2018-11-07T14:06:01	None	This authority record has been deleted because it is an invalid construction.		
sh2005007665	_African American HIV-positive women	african american hiv positive women	en	None	Topic	2006	None	None	None	None	2012-04-10T11:05:48	None	This authority record has been deleted because the heading is covered by the subject heading {HIV-positive women--United States} (sh2005008292).	W	women
sh2006002214	_Very Long Baseline Array (Telescopes)	very long baseline array ( telescopes )	en	None	Topic	2007	None	None	None	None	2016-11-09T15:32:04	None	This authority record has been deleted because the subject heading is covered by an identical name heading (DLC)n 2016046894		
sh2006002416	_Raguel (Archangel)	raguel ( archangel )	en	None	Topic	2006	None	None	None	None	2014-04-30T11:17:01	None	This authority record has been deleted because the subject heading is covered by an identical name heading (n 2014010261).		
sh2006003327	_Gays in advertising	gays in advertising	en	None	Topic	2006	None	None	None	None	2023-11-30T10:57:57	None	This authority record has been deleted because the heading is covered by the subject headings {Gay people in advertising} (DLC)sh2023000391 and {Gay men in advertising} (DLC)sh2023000392		
sh2006004272	_Common Language Runtime (Computer science)	common language runtime ( computer science )	en	None	Topic	2006	None	None	None	None	2018-03-13T13:22:58	None	This authority record has been deleted because the subject heading is covered by the name heading {Common Language Runtime} (DLC)n 2017075289		
sh2006004512	_Valdivia culture	valdivia culture	en	None	Topic	2006	None	None	None	None	2013-01-24T13:33:26	None	This authority record has been deleted because the heading is covered by the subject heading {Valdivian culture} (sh2005006899).		
sh2006007165	_Childhood in motion pictures	childhood in motion pictures	en	None	Topic	2007	None	None	None	None	2009-05-28T13:28:36	None	This authority record has been deleted because the heading is covered by the subject heading {Children in motion pictures} (sh 85023535).		
sh2006009018	_Very Large Array (N.M.)	very large array ( n m )	en	None	Topic	2007	None	None	None	None	2016-11-09T15:32:04	None	This authority record has been deleted because the subject heading is covered by the name heading {Very Large Array (Observatory : N.M.)} (DLC)n 2016046906		
sh2006020173	_Comedy videos	comedy videos	en	None	Topic	2006	None	None	None	None	2010-01-07T13:14:51	None	This authority record has been deleted because the heading is covered by the subject heading {Comedy films} (sh 85028846).		
sh2007000144	_Gender-based analysis	gender based analysis	en	None	Topic	2007	None	None	None	None	2012-06-14T07:57:14	None	This authority record has been deleted because the heading is covered by the subject heading {Gender mainstreaming} (sh2007004981).		
sh2007001544	_Church work with ex-concentration camp inmates	church work with ex concentration camp inmates	en	None	Topic	2007	None	None	None	None	2021-07-20T08:25:20	None	This authority record has been deleted because the heading is covered by the subject headings {Church work with ex-internment camp inmates} (DLC)sh2021004033 and {Church work with ex-Nazi concentration camp inmates} (DLC)sh2021004034		
sh2007001609	_Catá (Musical instrument)	catá ( musical instrument )	en	None	Topic	2007	None	None	None	None	2009-05-04T09:37:27	None	This authority record has been deleted because the heading is covered by an identical subject heading (sh 98005534).		
sh2007102177	_Buddhism z Tibet	buddhism z tibet	en	None	Topic	2007	None	None	None	None	2009-06-10T14:24:00	None	This authority record has been deleted because it is covered by the subject heading {Buddhism--China--Tibet} (sh 90000771).		
